uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,date,time,uf_x,uf_y
52,7,7,0,0,,0,,,03/03/2020,15:50,GO,GO
53,12,3,0,0,,0,,,03/03/2020,15:50,DF,DF
11,1,0,0,0,,0,,,04/03/2020,17:15,RO,RO
13,4,1,0,0,,0,,,04/03/2020,17:15,AM,AM
15,1,4,0,0,,0,,,04/03/2020,17:15,PA,PA
21,0,2,0,0,,0,,,04/03/2020,17:15,MA,MA
22,1,2,0,0,,0,,,04/03/2020,17:15,PI,PI
23,14,18,0,0,,0,,,04/03/2020,17:15,CE,CE
24,5,6,0,0,,0,,,04/03/2020,17:15,RN,RN
25,4,1,0,0,,0,,,04/03/2020,17:15,PB,PB
26,6,11,0,0,,0,,,04/03/2020,17:15,PE,PE
27,5,1,0,0,,0,,,04/03/2020,17:15,AL,AL
28,1,0,0,0,,0,,,04/03/2020,17:15,SE,SE
29,19,21,0,0,,0,,,04/03/2020,17:15,BA,BA
31,82,6,0,0,,0,,,04/03/2020,17:15,MG,MG
32,5,7,0,0,,0,,,04/03/2020,17:15,ES,ES
33,55,52,0,0,,0,,,04/03/2020,17:15,RJ,RJ
35,135,131,0,0,,3,,,04/03/2020,17:15,SP,SP
41,13,8,0,0,,0,,,04/03/2020,17:15,PR,PR
42,46,4,0,0,,0,,,04/03/2020,17:15,SC,SC
43,98,20,0,0,,0,,,04/03/2020,17:15,RS,RS
50,10,3,0,0,,0,,,04/03/2020,17:15,MS,MS
51,6,0,0,0,,0,,,04/03/2020,17:15,MT,MT
52,1,12,0,0,,0,,,04/03/2020,17:15,GO,GO
53,18,5,0,0,,0,,,04/03/2020,17:15,DF,DF
11,1,0,0,0,,0,,,05/03/2020,16:00,RO,RO
13,5,1,0,0,,0,,,05/03/2020,16:00,AM,AM
15,1,5,0,0,,0,,,05/03/2020,16:00,PA,PA
21,0,2,0,0,,0,,,05/03/2020,16:00,MA,MA
22,1,2,0,0,,0,,,05/03/2020,16:00,PI,PI
23,16,18,0,0,,0,,,05/03/2020,16:00,CE,CE
24,4,8,0,0,,0,,,05/03/2020,16:00,RN,RN
25,4,1,0,0,,0,,,05/03/2020,16:00,PB,PB
26,8,12,0,0,,0,,,05/03/2020,16:00,PE,PE
27,6,1,0,0,,0,,,05/03/2020,16:00,AL,AL
28,2,0,0,0,,0,,,05/03/2020,16:00,SE,SE
29,23,29,0,0,,0,,,05/03/2020,16:00,BA,BA
31,80,12,0,0,,0,,,05/03/2020,16:00,MG,MG
32,5,8,0,0,,0,,,05/03/2020,16:00,ES,ES
33,79,58,0,0,,1,,,05/03/2020,16:00,RJ,RJ
35,182,159,0,0,,6,1 Portador assintomático,,05/03/2020,16:00,SP,SP
41,20,9,0,0,,0,,,05/03/2020,16:00,PR,PR
42,54,4,0,0,,0,,,05/03/2020,16:00,SC,SC
43,104,25,0,0,,0,,,05/03/2020,16:00,RS,RS
50,11,3,0,0,,0,,,05/03/2020,16:00,MS,MS
51,6,0,0,0,,0,,,05/03/2020,16:00,MT,MT
52,4,12,0,0,,0,,,05/03/2020,16:00,GO,GO
53,20,9,0,0,,0,,,05/03/2020,16:00,DF,DF
11,1,0,0,0,,0,,,06/03/2020,16:00,RO,RO
13,2,4,0,0,,0,,,06/03/2020,16:00,AM,AM
15,4,5,0,0,,0,,,06/03/2020,16:00,PA,PA
21,0,2,0,0,,0,,,06/03/2020,16:00,MA,MA
22,1,2,0,0,,0,,,06/03/2020,16:00,PI,PI
23,12,24,0,0,,0,,,06/03/2020,16:00,CE,CE
24,7,8,0,0,,0,,,06/03/2020,16:00,RN,RN
25,3,3,0,0,,0,,,06/03/2020,16:00,PB,PB
26,6,14,0,0,,0,,,06/03/2020,16:00,PE,PE
27,7,1,0,0,,0,,,06/03/2020,16:00,AL,AL
28,3,1,0,0,,0,,,06/03/2020,16:00,SE,SE
29,15,32,0,0,,1,,,06/03/2020,16:00,BA,BA
31,123,17,0,0,,0,,,06/03/2020,16:00,MG,MG
32,1,12,0,0,,1,,,06/03/2020,16:00,ES,ES
33,111,67,0,0,,1,,,06/03/2020,16:00,RJ,RJ
35,222,189,0,0,,10,1 Portador assintomático,,06/03/2020,16:00,SP,SP
41,25,13,0,0,,0,,,06/03/2020,16:00,PR,PR
42,59,10,0,0,,0,,,06/03/2020,16:00,SC,SC
43,112,41,0,0,,0,,,06/03/2020,16:00,RS,RS
50,8,9,0,0,,0,,,06/03/2020,16:00,MS,MS
51,6,1,0,0,,0,,,06/03/2020,16:00,MT,MT
52,4,12,0,0,,0,,,06/03/2020,16:00,GO,GO
53,36,13,0,0,,0,,,06/03/2020,16:00,DF,DF
11,1,0,0,0,,0,,,07/03/2020,18:35,RO,RO
13,2,4,0,0,,0,,,07/03/2020,18:35,AM,AM
15,4,5,0,0,,0,,,07/03/2020,18:35,PA,PA
21,0,2,0,0,,0,,,07/03/2020,18:35,MA,MA
22,1,2,0,0,,0,,,07/03/2020,18:35,PI,PI
23,13,24,0,0,,0,,,07/03/2020,18:35,CE,CE
24,4,11,0,0,,0,,,07/03/2020,18:35,RN,RN
25,3,3,0,0,,0,,,07/03/2020,18:35,PB,PB
